id,version_status,organism_name,annotation_provider,annotation_date
GCF_000011785.1,suppressed,Histophilus somni 129PT,NCBI RefSeq,2010/05/13
GCF_000012085.1,replaced,Borrelia turicatae 91E135,NCBI RefSeq,2023/02/06
GCF_000012405.1,suppressed,Thermobifida fusca YX,NCBI RefSeq,2020/12/07
GCF_000012605.1,suppressed,Hydrogenovibrio crunogenus XCL-2,NCBI RefSeq,2021/02/12
GCF_000012905.1,replaced,Cereibacter sphaeroides 2.4.1,NCBI RefSeq,2010/05/13
GCF_000013105.1,suppressed,Moorella thermoacetica ATCC 39073,NCBI RefSeq,2021/04/02
GCF_000013525.1,suppressed,Streptococcus pyogenes MGAS2096,NCBI RefSeq,2019/08/25
GCF_000014325.1,suppressed,Streptococcus suis 98HAH33,NCBI RefSeq,2010/05/13
GCF_000014825.1,suppressed,Rhodopseudomonas palustris BisA53,NCBI RefSeq,2021/04/11
GCF_000014925.1,suppressed,Paenarthrobacter aurescens TC1,NCBI RefSeq,2024/05/07
GCF_000015545.1,suppressed,Acidovorax sp. JS42,NCBI RefSeq,2021/04/16
GCF_000016365.1,suppressed,Mycolicibacterium gilvum PYR-GCK,NCBI RefSeq,2020/10/25
GCF_000016465.1,suppressed,Haemophilus influenzae PittEE,NCBI RefSeq,2019/08/25
GCF_000016565.1,suppressed,Pseudomonas mendocina ymp,NCBI RefSeq,2020/12/17
GCF_000016765.1,suppressed,Rhizorhabdus wittichii RW1,NCBI RefSeq,2021/10/25
GCF_000016865.1,suppressed,Pseudomonas putida F1,NCBI RefSeq,2020/11/20
GCF_000017285.1,suppressed,Marinomonas sp. MWYL1,NCBI RefSeq,2020/12/17
GCF_000017485.1,suppressed,Campylobacter jejuni subsp. doylei 269.97,NCBI RefSeq,2019/04/01
GCF_000017885.1,suppressed,Bacillus pumilus SAFR-032,NCBI RefSeq,2023/03/12
GCF_000018085.1,suppressed,Serratia proteamaculans 568,NCBI RefSeq,2020/12/16
GCF_000018625.1,suppressed,"Salmonella enterica subsp. arizonae serovar 62:z4,z23:-",NCBI RefSeq,2022/11/29
GCF_000019465.1,suppressed,Yersinia pseudotuberculosis YPIII,NCBI RefSeq,2020/11/28
GCF_000019585.1,replaced,Xanthomonas oryzae pv. oryzae PXO99A,NCBI RefSeq,2023/03/12
GCF_000019685.1,suppressed,Borrelia duttonii Ly,NCBI RefSeq,2023/11/09
GCF_000020085.1,suppressed,Yersinia pseudotuberculosis PB1/+,NCBI RefSeq,2020/11/28
GCF_000020585.1,replaced,Alteromonas mediterranea,NCBI RefSeq,2010/05/13
GCF_000021225.1,suppressed,Bacillus cereus AH187,NCBI RefSeq,2022/12/28
GCF_000022185.1,suppressed,Chloroflexus aurantiacus Y-400-fl,NCBI RefSeq,2021/04/04
GCF_000022645.1,replaced,Burkholderia glumae BGR1,NCBI RefSeq,2010/05/13
GCF_000023185.1,suppressed,Rhizobium leguminosarum bv. trifolii WSM1325,NCBI RefSeq,2023/04/24
GCF_000023425.1,suppressed,Ralstonia pickettii 12D,NCBI RefSeq,2020/12/17
GCF_000023725.1,suppressed,Flavobacteriaceae bacterium 3519-10,NCBI RefSeq,2019/08/25
GCF_000026125.1,suppressed,Herminiimonas arsenicoxydans,NCBI RefSeq,2017/04/14
GCF_000026685.1,suppressed,Mycobacterium leprae Br4923,NCBI RefSeq,2017/04/07
GCF_000043285.1,suppressed,Candidatus Blochmanniella floridana,NCBI RefSeq,2017/04/15
GCF_000063505.1,suppressed,Synechococcus sp. WH 7803,NCBI RefSeq,2017/04/15
GCF_000064305.1,replaced,Flavobacterium psychrophilum JIP02/86,NCBI RefSeq,2010/05/13
GCF_000027065.1,suppressed,Cronobacter turicensis z3032,NCBI RefSeq,2010/05/13
GCF_000087965.1,replaced,Xanthomonas albilineans GPE PC73,NCBI RefSeq,2023/04/24
GCF_000025405.1,replaced,Pantoea ananatis LMG 20103,NCBI RefSeq,2010/05/13
GCF_000006335.1,suppressed,Candida tropicalis MYA-3404,NCBI RefSeq,2010/05/14
GCF_000001635.18,replaced,Mus musculus,NCBI RefSeq,2010/10/11
GCF_000146065.1,suppressed,Candidatus Cloacimonas acidaminovorans,NCBI RefSeq,2010/08/24
GCF_000091025.1,replaced,Eremothecium gossypii ATCC 10895,NCBI RefSeq,2010/09/07
GCF_000002545.2,suppressed,Nakaseomyces glabratus,NCBI RefSeq,2010/09/15
GCF_000151205.1,replaced,Thermococcus sp. AM4,NCBI RefSeq,2010/10/09
GCF_000152545.1,suppressed,Pseudomonas aeruginosa 2192,NCBI RefSeq,2023/02/12
GCF_000152945.1,replaced,Polaribacter sp. MED152,NCBI RefSeq,2010/10/15
GCF_000153405.1,replaced,Psychromonas sp. CNPT3,NCBI RefSeq,2010/10/15
GCF_000153685.1,replaced,Mycobacterium tuberculosis str. Haarlem,NCBI RefSeq,2010/10/15
GCF_000153785.1,replaced,Vibrio cholerae AM-19226,NCBI RefSeq,2014/10/02
GCF_000153985.1,replaced,Vibrio cholerae MZO-2,NCBI RefSeq,2014/11/28
GCF_000154345.1,suppressed,[Clostridium] leptum DSM 753,NCBI RefSeq,2020/07/05
GCF_000154545.1,suppressed,Clostridium sp. SS2/1,NCBI RefSeq,2023/11/09
GCF_000154745.1,replaced,Phaeobacter inhibens 2.10,NCBI RefSeq,2010/10/15
GCF_000155005.1,suppressed,Escherichia coli O157:H7 str. EC4024,NCBI RefSeq,2010/10/15
GCF_000155435.1,suppressed,Clostridiales bacterium 1_7_47FAA,NCBI RefSeq,2020/04/12
GCF_000155735.1,replaced,Octadecabacter arcticus 238,NCBI RefSeq,2010/10/15
GCF_000155835.1,suppressed,Proteus penneri ATCC 35198,NCBI RefSeq,2010/10/15
GCF_000155935.1,suppressed,Lactobacillus gasseri MV-22,NCBI RefSeq,2010/10/15
GCF_000156035.1,suppressed,[Clostridium] nexile DSM 1787,NCBI RefSeq,2010/10/15
GCF_000156135.1,suppressed,Rhodobacterales bacterium Y4I,NCBI RefSeq,2019/12/18
GCF_000156295.1,suppressed,marine gamma proteobacterium HTCC2148,NCBI RefSeq,2019/12/16
GCF_000156695.1,replaced,Streptomyces filamentosus NRRL 11379,NCBI RefSeq,2010/10/15
GCF_000156855.1,replaced,Neisseria gonorrhoeae MS11,NCBI RefSeq,2010/10/15
GCF_000157355.1,replaced,Enterococcus casseliflavus EC20,NCBI RefSeq,2010/10/15
GCF_000157615.1,suppressed,"Enterococcus faecium 1,231,408",NCBI RefSeq,2023/04/05
GCF_000158135.1,suppressed,Rhodobacteraceae bacterium KLH11,NCBI RefSeq,2019/09/25
GCF_000158335.1,replaced,Phocaeicola dorei 5_1_36/D4,NCBI RefSeq,2010/10/15
GCF_000158435.1,replaced,Helicobacter bilis ATCC 43879,NCBI RefSeq,2010/10/15
GCF_000158535.1,suppressed,Fusobacterium animalis D11,NCBI RefSeq,2010/10/15
GCF_000159155.1,replaced,Gardnerella vaginalis ATCC 14019,NCBI RefSeq,2010/10/15
GCF_000159735.1,suppressed,Mycobacterium tuberculosis T46,NCBI RefSeq,2019/08/13
GCF_000159775.1,suppressed,Mycobacterium tuberculosis variant africanum K85,NCBI RefSeq,2023/06/07
GCF_000159835.1,replaced,Pseudomonas amygdali pv. tabaci str. ATCC 11528,NCBI RefSeq,2010/10/15
GCF_000159875.1,replaced,Bacteroides thetaiotaomicron,NCBI RefSeq,2010/10/15
GCF_000160035.1,suppressed,Catonella morbi ATCC 51271,NCBI RefSeq,2010/10/15
GCF_000160335.1,replaced,Staphylococcus aureus subsp. aureus 55/2053,NCBI RefSeq,2010/10/15
GCF_000002115.2,suppressed,Homo sapiens,NCBI RefSeq,2009/08/12
GCF_000002165.2,suppressed,Mus musculus,NCBI RefSeq,2015/01/16
GCF_000002235.2,replaced,Strongylocentrotus purpuratus,NCBI RefSeq,2009/08/12
GCF_000002275.1,suppressed,Ornithorhynchus anatinus,NCBI RefSeq,2009/08/12
GCF_000002295.1,suppressed,Monodelphis domestica,NCBI RefSeq,2009/08/12
GCF_000001405.13,replaced,Homo sapiens,NCBI RefSeq,2009/08/12
GCF_000002335.1,suppressed,Tribolium castaneum,NCBI RefSeq,2009/08/12
GCF_000002415.1,suppressed,Plasmodium vivax,NCBI RefSeq,2009/08/12
GCF_000001405.11,replaced,Homo sapiens,NCBI RefSeq,2009/08/12
GCF_000001405.12,replaced,Homo sapiens,NCBI RefSeq,2007/10/16
GCF_000002515.1,suppressed,Kluyveromyces lactis,NCBI RefSeq,2009/08/12
GCF_000002765.1,replaced,Plasmodium falciparum 3D7,NCBI RefSeq,2009/08/12
GCF_000002995.1,suppressed,Brugia malayi,NCBI RefSeq,2009/08/12
GCF_000002135.1,suppressed,Homo sapiens,NCBI RefSeq,2009/08/16
GCF_000002235.1,replaced,Strongylocentrotus purpuratus,NCBI RefSeq,2009/08/16
GCF_000002035.2,replaced,Danio rerio,NCBI RefSeq,2009/09/14
GCF_000003745.1,suppressed,Vitis vinifera,NCBI RefSeq,2009/09/25
GCF_000003205.3,suppressed,Bos taurus,NCBI RefSeq,2009/10/08
GCF_000004015.1,suppressed,Aedes aegypti,NCBI RefSeq,2009/10/22
GCF_000003055.3,suppressed,Bos taurus,NCBI RefSeq,2009/11/30
GCF_000005195.1,suppressed,Drosophila persimilis,NCBI RefSeq,2010/02/10
GCF_000005575.1,suppressed,Anopheles gambiae str. PEST,NCBI RefSeq,2010/02/18
GCF_000005825.1,replaced,Alkalihalophilus pseudofirmus OF4,NCBI RefSeq,2010/03/03
GCF_000005975.1,suppressed,Drosophila yakuba,NCBI RefSeq,2010/03/05
GCF_000001545.2,suppressed,Pongo abelii,NCBI RefSeq,2010/03/05
GCF_000002255.2,suppressed,Macaca mulatta,NCBI RefSeq,2010/03/05
GCF_000007465.1,replaced,Streptococcus mutans UA159,NCBI RefSeq,2010/05/13
GCF_000007565.1,replaced,Pseudomonas putida KT2440,NCBI RefSeq,2010/05/13
GCF_000007765.1,replaced,Coxiella burnetii RSA 493,NCBI RefSeq,2010/05/13
GCF_000007985.1,replaced,Geobacter sulfurreducens PCA,NCBI RefSeq,2010/05/13
GCF_000008085.1,suppressed,Nanoarchaeum equitans Kin4-M,NCBI RefSeq,2010/05/13
GCF_000008685.1,replaced,Borreliella burgdorferi B31,NCBI RefSeq,2010/05/13
GCF_000008885.1,suppressed,Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,NCBI RefSeq,2017/04/06
GCF_000009225.1,suppressed,Pseudomonas fluorescens SBW25,NCBI RefSeq,2010/05/13
GCF_000012425.1,suppressed,Dechloromonas aromatica RCB,NCBI RefSeq,2020/12/17
GCF_000013745.1,suppressed,Rhodopseudomonas palustris BisB18,NCBI RefSeq,2021/04/11
GCF_000013845.1,suppressed,Clostridium perfringens SM101,NCBI RefSeq,2023/03/25
GCF_000014245.1,suppressed,Chelativorans sp. BNC1,NCBI RefSeq,2021/04/11
GCF_000014365.1,suppressed,Streptococcus pneumoniae D39,NCBI RefSeq,2023/02/13
GCF_000014665.1,suppressed,Shewanella sp. MR-7,NCBI RefSeq,2020/03/23
GCF_000015785.1,replaced,Bacillus velezensis FZB42,NCBI RefSeq,2023/03/09
GCF_000016085.1,suppressed,Chlorobium phaeovibrioides DSM 265,NCBI RefSeq,2020/12/07
GCF_000016485.1,suppressed,Haemophilus influenzae PittGG,NCBI RefSeq,2019/08/12
GCF_000016585.1,suppressed,Shewanella putrefaciens CN-32,NCBI RefSeq,2021/04/02
GCF_000016885.1,suppressed,Psychrobacter sp. PRwf-1,NCBI RefSeq,2020/09/23
GCF_000018125.1,suppressed,Streptococcus pyogenes NZ131,NCBI RefSeq,2023/02/12
GCF_000019285.1,suppressed,Francisella philomiragia subsp. philomiragia ATCC 25017,NCBI RefSeq,2021/04/02
GCF_000020205.1,suppressed,Ralstonia pickettii 12J,NCBI RefSeq,2020/12/17
GCF_000021145.1,suppressed,Acinetobacter baumannii AB307-0294,NCBI RefSeq,2017/03/15
GCF_000021245.1,suppressed,Acinetobacter baumannii AB0057,NCBI RefSeq,2022/11/05
GCF_000023345.1,suppressed,Variovorax paradoxus S110,NCBI RefSeq,2021/04/02
GCF_000023645.1,suppressed,Geobacter sp. M21,NCBI RefSeq,2020/12/17
GCF_000023765.1,replaced,Candidatus Liberibacter asiaticus str. psy62,NCBI RefSeq,2010/05/13
GCF_000063525.1,suppressed,Synechococcus sp. RCC307,NCBI RefSeq,2017/04/15
GCF_000069205.1,suppressed,Acinetobacter baumannii SDF,NCBI RefSeq,2019/08/26
GCF_000069925.1,suppressed,Candidatus Phytoplasma australiense,NCBI RefSeq,2017/04/07
GCF_000024705.1,suppressed,Geobacillus sp. Y412MC61,NCBI RefSeq,2020/12/16
GCF_000022605.1,replaced,Blattabacterium sp. (Blattella germanica) str. Bge,NCBI RefSeq,2010/05/13
GCF_000090405.1,suppressed,Salinibacter ruber M8,NCBI RefSeq,2010/05/13
GCF_000091085.1,suppressed,Chlamydia pneumoniae AR39,NCBI RefSeq,2023/07/08
GCF_000093145.1,replaced,Comamonas testosteroni CNB-2,NCBI RefSeq,2010/06/14
GCF_000090985.1,suppressed,Micromonas commoda,NCBI RefSeq,2010/06/14
GCF_000003195.1,replaced,Sorghum bicolor,NCBI RefSeq,2010/06/29
GCF_000004255.1,replaced,Arabidopsis lyrata subsp. lyrata,NCBI RefSeq,2010/06/29
GCF_000002765.2,suppressed,Plasmodium falciparum 3D7,NCBI RefSeq,2010/09/15
GCF_000002245.1,suppressed,Strongylocentrotus purpuratus,NCBI RefSeq,2010/09/29
GCF_000149685.1,suppressed,Lodderomyces elongisporus NRRL YB-4239,NCBI RefSeq,2012/09/12
GCF_000149845.1,replaced,Schizosaccharomyces japonicus yFS275,NCBI RefSeq,2010/10/08
GCF_000151105.1,replaced,Thermococcus barophilus MP,NCBI RefSeq,2010/10/09
GCF_000152505.1,suppressed,Mycobacterium tuberculosis C,NCBI RefSeq,2019/08/13
GCF_000153165.1,replaced,Maribacter sp. HTCC2170,NCBI RefSeq,2010/10/15
GCF_000153845.1,suppressed,Francisella tularensis subsp. holarctica 257,NCBI RefSeq,2019/01/30
GCF_000153945.1,suppressed,Vibrio cholerae NCTC 8457,NCBI RefSeq,2022/12/03
GCF_000154045.1,suppressed,Vibrio parahaemolyticus AQ3810,NCBI RefSeq,2015/08/12
GCF_000154605.1,replaced,Mycobacterium tuberculosis KZN 605,NCBI RefSeq,2010/10/15
GCF_000154705.1,replaced,Hoeflea phototrophica DFL-43,NCBI RefSeq,2010/10/15
GCF_000154765.1,replaced,Phaeobacter gallaeciensis DSM 26640,NCBI RefSeq,2010/10/15
GCF_000155165.1,suppressed,Mycobacterium tuberculosis 02_1987,NCBI RefSeq,2019/08/13
GCF_000155225.1,suppressed,Mycobacterium tuberculosis EAS054,NCBI RefSeq,2019/08/13
GCF_000155285.1,suppressed,Mycobacterium tuberculosis GM 1503,NCBI RefSeq,2019/08/31
GCF_000155695.1,suppressed,Verrucomicrobiia bacterium DG1235,NCBI RefSeq,2019/12/20
GCF_000155795.1,suppressed,Mycobacterium tuberculosis '98-R604 INH-RIF-EM',NCBI RefSeq,2019/12/16
GCF_000155855.1,suppressed,[Bacteroides] pectinophilus ATCC 43243,NCBI RefSeq,2020/04/26
GCF_002955015.1,suppressed,Mycobacterium phage SimranZ1,NCBI RefSeq,2021/10/12
GCF_009673105.1,suppressed,Mycobacterium phage TDanisky,NCBI RefSeq,2021/10/12
GCF_015694245.1,suppressed,Acinetobacter baumannii,NCBI RefSeq,2023/11/29
GCF_015392485.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015392525.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015389165.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015392955.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015391805.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015393485.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015391845.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015393095.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015392535.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015389655.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015390155.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015388925.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015392945.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015390115.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015393315.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015393335.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015389285.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015388825.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015389905.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015391545.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015392625.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015388975.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015391605.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015392225.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015389135.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015390055.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015391855.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015389265.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_015389365.1,suppressed,Escherichia coli,NCBI RefSeq,2020/11/13
GCF_901227175.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/22
GCF_901228225.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/22
GCF_901227275.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/22
GCF_901228355.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/22
GCF_000160995.1,suppressed,Bacillus cereus R309803,NCBI RefSeq,2017/06/15
GCF_000161095.1,suppressed,Bacillus cereus BDRD-ST196,NCBI RefSeq,2022/12/29
GCF_000161155.1,suppressed,Bacillus cereus Rock1-3,NCBI RefSeq,2022/12/29
GCF_000161255.1,suppressed,Bacillus cereus Rock3-44,NCBI RefSeq,2022/12/29
GCF_000161815.1,suppressed,Ruegeria sp. TrichCH4B,NCBI RefSeq,2019/10/26
GCF_000161915.1,replaced,Lactobacillus crispatus MV-1A-US,NCBI RefSeq,2010/10/15
GCF_000162175.1,suppressed,Bacteroides sp. 2_1_33B,NCBI RefSeq,2023/06/24
GCF_000162375.1,replaced,Acinetobacter sp. RUH 2624,NCBI RefSeq,2010/10/15
GCF_000162475.1,replaced,Granulicatella elegans ATCC 700633,NCBI RefSeq,2010/10/15
GCF_000162895.1,suppressed,Actinomyces sp. oral taxon 848 str. F0332,NCBI RefSeq,2023/12/10
GCF_000163055.1,replaced,Prevotella sp. oral taxon 299 str. F0039,NCBI RefSeq,2010/10/15
GCF_000163355.1,replaced,Acinetobacter baumannii 6013150,NCBI RefSeq,2010/10/15
GCF_000163515.1,suppressed,Erysipelotrichaceae bacterium 5_2_54FAA,NCBI RefSeq,2010/10/15
GCF_000163615.1,suppressed,Aggregatibacter actinomycetemcomitans D7S-1,NCBI RefSeq,2010/10/15
GCF_000163915.1,replaced,Fusobacterium vincentii 3_1_27,NCBI RefSeq,2010/10/15
GCF_000164015.1,replaced,Pseudomonas savastanoi pv. savastanoi NCPPB 3335,NCBI RefSeq,2010/10/15
GCF_000166815.1,suppressed,Enterococcus faecium DO,NCBI RefSeq,2023/04/29
GCF_000166875.1,suppressed,Paramagnetospirillum magnetotacticum MS-1,NCBI RefSeq,2010/11/18
GCF_000167435.1,suppressed,Streptococcus pyogenes M49 591,NCBI RefSeq,2015/08/17
GCF_000168155.1,suppressed,Candidatus Karelsulcia muelleri str. Hc (Homalodisca coagulata),NCBI RefSeq,2010/11/18
GCF_000168275.1,suppressed,delta proteobacterium MLMS-1,NCBI RefSeq,2020/04/01
GCF_000168495.1,suppressed,Listeria monocytogenes FSL J2-064,NCBI RefSeq,2019/05/21
GCF_000168595.1,replaced,Listeria monocytogenes Finland 1998,NCBI RefSeq,2010/11/18
GCF_000168695.1,replaced,Listeria monocytogenes 10403S,NCBI RefSeq,2010/11/18
GCF_000168915.1,replaced,Vibrio cholerae 2740-80,NCBI RefSeq,2015/03/01
GCF_000169115.1,suppressed,marine gamma proteobacterium HTCC2080,NCBI RefSeq,2019/08/25
GCF_000169215.1,suppressed,Shewanella putrefaciens 200,NCBI RefSeq,2010/11/18
GCF_000169735.1,suppressed,Haemophilus influenzae 22.1-21,NCBI RefSeq,2019/08/12
GCF_000170035.1,suppressed,Streptococcus pneumoniae SP6-BS73,NCBI RefSeq,2019/08/13
GCF_000170095.1,suppressed,Streptococcus pneumoniae SP14-BS69,NCBI RefSeq,2014/11/26
GCF_000170135.1,suppressed,Streptococcus pneumoniae SP19-BS75,NCBI RefSeq,2019/08/12
GCF_000170455.1,suppressed,Burkholderia pseudomallei 91,NCBI RefSeq,2022/12/30
GCF_000170555.1,suppressed,Burkholderia pseudomallei 112,NCBI RefSeq,2022/12/30
